"SECTOR","STATE","STATE_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NY","36","Carbon Dioxide","GHG","53281860.48658208","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","34","Carbon Dioxide","GHG","31062985.76953","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","09","Carbon Dioxide","GHG","12893258.751","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NY","36","Carbon Dioxide","GHG","12263319.23847","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NJ","34","Carbon Dioxide","GHG","7391456.65163","TON"
"Mobile - Non-Road Equipment - Diesel","NY","36","Carbon Dioxide","GHG","4540367.388165","TON"
"Mobile - Non-Road Equipment - Diesel","NJ","34","Carbon Dioxide","GHG","3154346.8699529","TON"
"Mobile - Non-Road Equipment - Gasoline","NY","36","Carbon Dioxide","GHG","2988088.3858652584","TON"
"Mobile - Aircraft","NY","36","Carbon Dioxide","GHG","1683602.344633","TON"
"Mobile - Non-Road Equipment - Gasoline","NJ","34","Carbon Dioxide","GHG","1460164.161154694","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NY","36","Carbon Dioxide","GHG","1330530.5173773","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CT","09","Carbon Dioxide","GHG","1281451.21708","TON"
"Mobile - Non-Road Equipment - Other","NY","36","Carbon Dioxide","GHG","1182753.2465090432","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NY","36","Carbon Dioxide","GHG","1025061.19469","TON"
"Mobile - Non-Road Equipment - Diesel","CT","09","Carbon Dioxide","GHG","900037.09059","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NY","36","Carbon Dioxide","GHG","898420.88109","TON"
"Mobile - Aircraft","NJ","34","Carbon Dioxide","GHG","896440.2101552","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NJ","34","Carbon Dioxide","GHG","708458.1834","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NJ","34","Carbon Dioxide","GHG","675479.7222377","TON"
"Mobile - Non-Road Equipment - Gasoline","CT","09","Carbon Dioxide","GHG","554232.76955518","TON"
"Mobile - Non-Road Equipment - Gasoline","NY","36","Carbon Monoxide","CAP","538336.1085066176","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NY","36","Carbon Monoxide","CAP","502245.2732206154","TON"
"Mobile - Non-Road Equipment - Other","NJ","34","Carbon Dioxide","GHG","431558.7051471593","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NY","36","Carbon Dioxide","GHG","397239.94324","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","34","Carbon Monoxide","CAP","352451.7906256","TON"
"Mobile - Non-Road Equipment - Gasoline","NJ","34","Carbon Monoxide","CAP","285030.59516434","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NJ","34","Carbon Dioxide","GHG","265062.4","TON"
"Fuel Comb - Electric Generation - Natural Gas","NY","36","Carbon Dioxide","GHG","249361.73638","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","CT","09","Carbon Dioxide","GHG","246903.574","TON"
"Fuel Comb - Electric Generation - Other","NY","36","Carbon Dioxide","GHG","246735.3963","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NJ","34","Carbon Dioxide","GHG","236160.8","TON"
"Mobile - Non-Road Equipment - Other","CT","09","Carbon Dioxide","GHG","220421.66331755","TON"
"Fires - Prescribed Fires","NJ","34","Carbon Dioxide","GHG","219175.217062","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NY","36","Carbon Dioxide","GHG","210546.704","TON"
"Waste Disposal","NY","36","Carbon Dioxide","GHG","181287.8932","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","09","Carbon Monoxide","CAP","154109.7132","TON"
"Mobile - Non-Road Equipment - Gasoline","CT","09","Carbon Monoxide","CAP","108495.842706097","TON"
